Indicator,Sim_ID,L1_Budget_Pct,L1_Label,Target_Percentile,V2_MAE_Acc
Height,9,0.1,25C_x_2K,90%,88.63636363636364
Height,9,0.2,25C_x_3K,10%,15.0
Height,9,0.2,25C_x_3K,100%,100.0
Height,9,0.2,25C_x_3K,20%,34.0
Height,9,0.2,25C_x_3K,30%,46.25
Height,9,0.2,25C_x_3K,40%,50.0
Height,9,0.2,25C_x_3K,50%,52.5
Height,9,0.2,25C_x_3K,60%,64.0
Height,9,0.2,25C_x_3K,70%,77.22222222222221
Height,9,0.2,25C_x_3K,80%,82.0
Height,9,0.2,25C_x_3K,90%,89.0909090909091
Height,9,0.3,25C_x_4K,10%,20.0
Height,9,0.3,25C_x_4K,100%,100.0
Height,9,0.3,25C_x_4K,20%,34.0
Height,9,0.3,25C_x_4K,30%,46.25
Height,9,0.3,25C_x_4K,40%,51.0
Height,9,0.3,25C_x_4K,50%,55.833333333333336
Height,9,0.3,25C_x_4K,60%,63.33333333333333
Height,9,0.3,25C_x_4K,70%,74.44444444444444
Height,9,0.3,25C_x_4K,80%,81.0
Height,9,0.3,25C_x_4K,90%,90.45454545454545
Height,9,0.4,25C_x_6K,10%,30.0
Height,9,0.4,25C_x_6K,100%,100.0
Height,9,0.4,25C_x_6K,20%,42.0
Height,9,0.4,25C_x_6K,30%,45.0
Height,9,0.4,25C_x_6K,40%,53.0
Height,9,0.4,25C_x_6K,50%,58.33333333333333
Height,9,0.4,25C_x_6K,60%,65.33333333333333
Height,9,0.4,25C_x_6K,70%,77.22222222222223
Height,9,0.4,25C_x_6K,80%,81.5
Height,9,0.4,25C_x_6K,90%,88.63636363636364
Height,9,0.5,25C_x_8K,10%,30.0
Height,9,0.5,25C_x_8K,100%,100.0
Height,9,0.5,25C_x_8K,20%,40.0
Height,9,0.5,25C_x_8K,30%,50.0
Height,9,0.5,25C_x_8K,40%,53.0
Height,9,0.5,25C_x_8K,50%,59.166666666666664
Height,9,0.5,25C_x_8K,60%,67.33333333333333
Height,9,0.5,25C_x_8K,70%,78.88888888888889
Height,9,0.5,25C_x_8K,80%,82.5
Height,9,0.5,25C_x_8K,90%,90.9090909090909
Height,9,0.6,25C_x_9K,10%,35.0
Height,9,0.6,25C_x_9K,100%,100.0
Height,9,0.6,25C_x_9K,20%,40.0
Height,9,0.6,25C_x_9K,30%,50.0
Height,9,0.6,25C_x_9K,40%,51.0
Height,9,0.6,25C_x_9K,50%,60.0
Height,9,0.6,25C_x_9K,60%,69.33333333333333
Height,9,0.6,25C_x_9K,70%,79.44444444444444
Height,9,0.6,25C_x_9K,80%,82.0
Height,9,0.6,25C_x_9K,90%,89.54545454545453
Height,9,0.7,25C_x_10K,10%,25.0
Height,9,0.7,25C_x_10K,100%,100.0
Height,9,0.7,25C_x_10K,20%,46.0
Height,9,0.7,25C_x_10K,30%,50.0
Height,9,0.7,25C_x_10K,40%,56.0
Height,9,0.7,25C_x_10K,50%,61.666666666666664
Height,9,0.7,25C_x_10K,60%,67.33333333333333
Height,9,0.7,25C_x_10K,70%,79.44444444444444
Height,9,0.7,25C_x_10K,80%,83.5
Height,9,0.7,25C_x_10K,90%,90.45454545454545
Height,9,0.8,25C_x_12K,10%,35.0
Height,9,0.8,25C_x_12K,100%,100.0
Height,9,0.8,25C_x_12K,20%,42.0
Height,9,0.8,25C_x_12K,30%,53.75
Height,9,0.8,25C_x_12K,40%,57.0
Height,9,0.8,25C_x_12K,50%,63.33333333333333
Height,9,0.8,25C_x_12K,60%,67.99999999999999
Height,9,0.8,25C_x_12K,70%,79.44444444444444
Height,9,0.8,25C_x_12K,80%,83.5
Height,9,0.8,25C_x_12K,90%,91.81818181818181
Height,9,0.9,25C_x_14K,10%,35.0
Height,9,0.9,25C_x_14K,100%,100.0
Height,9,0.9,25C_x_14K,20%,44.0
Height,9,0.9,25C_x_14K,30%,52.5
Height,9,0.9,25C_x_14K,40%,57.0
Height,9,0.9,25C_x_14K,50%,62.5
Height,9,0.9,25C_x_14K,60%,70.0
Height,9,0.9,25C_x_14K,70%,79.44444444444446
Height,9,0.9,25C_x_14K,80%,84.0
Height,9,0.9,25C_x_14K,90%,90.9090909090909
Height,9,1.0,25C_x_15K,10%,40.0
Height,9,1.0,25C_x_15K,100%,100.0
Height,9,1.0,25C_x_15K,20%,44.0
Height,9,1.0,25C_x_15K,30%,53.75
Height,9,1.0,25C_x_15K,40%,59.0
Height,9,1.0,25C_x_15K,50%,65.0
Height,9,1.0,25C_x_15K,60%,72.0
Height,9,1.0,25C_x_15K,70%,80.55555555555557
Height,9,1.0,25C_x_15K,80%,85.5
Height,9,1.0,25C_x_15K,90%,90.9090909090909
Weight,0,0.1,25C_x_2K,10%,20.0
Weight,0,0.1,25C_x_2K,100%,100.0
Weight,0,0.1,25C_x_2K,20%,34.0
Weight,0,0.1,25C_x_2K,30%,45.0
Weight,0,0.1,25C_x_2K,40%,52.0
Weight,0,0.1,25C_x_2K,50%,53.333333333333336
Weight,0,0.1,25C_x_2K,60%,64.0
Weight,0,0.1,25C_x_2K,70%,77.22222222222223
Weight,0,0.1,25C_x_2K,80%,82.0
Weight,0,0.1,25C_x_2K,90%,90.0
Weight,0,0.2,25C_x_3K,10%,25.0
Weight,0,0.2,25C_x_3K,100%,100.0
Weight,0,0.2,25C_x_3K,20%,34.0
Weight,0,0.2,25C_x_3K,30%,42.5
Weight,0,0.2,25C_x_3K,40%,51.0
Weight,0,0.2,25C_x_3K,50%,57.5
Weight,0,0.2,25C_x_3K,60%,64.0
Weight,0,0.2,25C_x_3K,70%,74.44444444444444
Weight,0,0.2,25C_x_3K,80%,84.5
Weight,0,0.2,25C_x_3K,90%,90.0
Weight,0,0.3,25C_x_4K,10%,30.0
Weight,0,0.3,25C_x_4K,100%,100.0
Weight,0,0.3,25C_x_4K,20%,40.0
Weight,0,0.3,25C_x_4K,30%,47.5
Weight,0,0.3,25C_x_4K,40%,54.0
