L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V3_MAE_Acc,Scenario
20%,1,53,1C x 53K,20%,1,10,1C x 10K,0.0,0.0,Custom_Simulation
20%,1,53,1C x 53K,20%,1,10,1C x 10K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,20%,1,10,1C x 10K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,20%,1,10,1C x 10K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,20%,1,10,1C x 10K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,40%,1,21,1C x 21K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,60%,1,31,1C x 31K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,60%,1,31,1C x 31K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,60%,1,31,1C x 31K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,60%,1,31,1C x 31K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,60%,1,31,1C x 31K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,60%,1,31,1C x 31K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,80%,1,42,1C x 42K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,80%,1,42,1C x 42K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,80%,1,42,1C x 42K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,80%,1,42,1C x 42K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,80%,1,42,1C x 42K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,80%,1,42,1C x 42K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,100%,1,53,1C x 53K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,100%,1,53,1C x 53K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,100%,1,53,1C x 53K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,100%,1,53,1C x 53K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,100%,1,53,1C x 53K,0.0,100.0,Custom_Simulation
20%,1,53,1C x 53K,100%,1,53,1C x 53K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,20%,1,12,1C x 12K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,20%,1,12,1C x 12K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,20%,1,12,1C x 12K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,20%,1,12,1C x 12K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,20%,1,12,1C x 12K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,20%,1,12,1C x 12K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,40%,1,25,1C x 25K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,40%,1,25,1C x 25K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,40%,1,25,1C x 25K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,40%,1,25,1C x 25K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,40%,1,25,1C x 25K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,40%,1,25,1C x 25K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,60%,1,38,1C x 38K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,60%,1,38,1C x 38K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,60%,1,38,1C x 38K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,60%,1,38,1C x 38K,0.0,100.0,Custom_Simulation
20%,1,64,1C x 64K,60%,1,38,1C x 38K,0.0,100.0,Custom_Simulation
