Indicator,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V2_MAE_Acc,V3_MAE_Acc,Scenario
Weight,80%,4,75,4C x 75K,100%,4,75,4C x 75K,0.0,14.285714285714285,0.0,Custom_Simulation
Weight,80%,4,75,4C x 75K,100%,4,75,4C x 75K,0.0,14.285714285714285,0.0,Custom_Simulation
Weight,80%,4,75,4C x 75K,100%,4,75,4C x 75K,0.0,14.285714285714285,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,10%,4,8,4C x 8K,100.0,17.142857142857142,100.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,10%,3,13,3C x 13K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,10%,2,18,2C x 18K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,10%,1,23,1C x 23K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,10%,1,28,1C x 28K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,10%,1,33,1C x 33K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,20%,5,13,5C x 13K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,20%,3,23,3C x 23K,100.0,17.142857142857142,100.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,20%,2,33,2C x 33K,100.0,17.142857142857142,100.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,20%,1,47,1C x 47K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,20%,1,57,1C x 57K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,20%,1,67,1C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,30%,5,20,5C x 20K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,30%,3,29,3C x 29K,100.0,17.142857142857142,100.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,30%,3,37,3C x 37K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,30%,2,50,2C x 50K,100.0,17.142857142857142,100.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,30%,2,58,2C x 58K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,30%,1,67,1C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,40%,5,26,5C x 26K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,40%,4,33,4C x 33K,100.0,17.142857142857142,100.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,40%,3,41,3C x 41K,100.0,17.142857142857142,100.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,40%,3,52,3C x 52K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,40%,2,60,2C x 60K,100.0,17.142857142857142,100.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,40%,2,67,2C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,50%,5,33,5C x 33K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,50%,4,39,4C x 39K,100.0,17.142857142857142,100.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,50%,4,45,4C x 45K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,50%,3,55,3C x 55K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,50%,3,61,3C x 61K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,50%,2,67,2C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,60%,5,40,5C x 40K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,60%,4,45,4C x 45K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,60%,4,50,4C x 50K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,60%,4,57,4C x 57K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,60%,3,62,3C x 62K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,60%,3,67,3C x 67K,100.0,17.142857142857142,100.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,70%,5,46,5C x 46K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,70%,5,50,5C x 50K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,70%,4,54,4C x 54K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,70%,4,59,4C x 59K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,70%,4,63,4C x 63K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,70%,3,67,3C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,80%,5,53,5C x 53K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,80%,5,56,5C x 56K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,80%,5,58,5C x 58K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,80%,4,62,4C x 62K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,80%,4,64,4C x 64K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,80%,4,67,4C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,90%,5,60,5C x 60K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,90%,5,61,5C x 61K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,90%,5,63,5C x 63K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,90%,5,64,5C x 64K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,90%,5,66,5C x 66K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,90%,4,67,4C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,100%,5,67,5C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,100%,5,67,5C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,100%,5,67,5C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,100%,5,67,5C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,100%,5,67,5C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,67,5C x 67K,100%,5,67,5C x 67K,100.0,17.142857142857142,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,10%,4,9,4C x 9K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,10%,2,14,2C x 14K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,10%,2,19,2C x 19K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,10%,1,24,1C x 24K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,10%,1,29,1C x 29K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,10%,1,34,1C x 34K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,20%,5,13,5C x 13K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,20%,3,23,3C x 23K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,20%,2,33,2C x 33K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,20%,1,49,1C x 49K,0.0,22.857142857142858,0.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,20%,1,59,1C x 59K,0.0,22.857142857142858,100.0,Custom_Simulation
Weight,90%,5,69,5C x 69K,20%,1,69,1C x 69K,0.0,22.857142857142858,0.0,Custom_Simulation
