Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,Target_Percentile,V1_MAE_Acc,V3_MAE_Acc
Height,0,0.7,25C_x_10K,0.1,25C_x_1K,30%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,25C_x_1K,40%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,25C_x_1K,50%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,25C_x_1K,60%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,25C_x_1K,70%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,25C_x_1K,80%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,25C_x_1K,90%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,25C_x_1K,100%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,3C_x_8K,10%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,3C_x_8K,20%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,3C_x_8K,30%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,3C_x_8K,40%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,3C_x_8K,50%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,3C_x_8K,60%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,3C_x_8K,70%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,3C_x_8K,80%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,3C_x_8K,90%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,3C_x_8K,100%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,4C_x_6K,10%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,4C_x_6K,20%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,4C_x_6K,30%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,4C_x_6K,40%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,4C_x_6K,50%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,4C_x_6K,60%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,4C_x_6K,70%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,4C_x_6K,80%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,4C_x_6K,90%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,4C_x_6K,100%,100.0,100.0
Height,0,0.7,25C_x_10K,0.1,5C_x_5K,10%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,5C_x_5K,20%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,5C_x_5K,30%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,5C_x_5K,40%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,5C_x_5K,50%,0.0,0.0
Height,0,0.7,25C_x_10K,0.1,5C_x_5K,60%,0.0,0.0
