Indicator,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V2_MAE_Acc,V3_MAE_Acc,Scenario
Height,90%,1,67,1C x 67K,30%,1,20,1C x 20K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,30%,1,20,1C x 20K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,40%,1,26,1C x 26K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,40%,1,26,1C x 26K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,40%,1,26,1C x 26K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,40%,1,26,1C x 26K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,40%,1,26,1C x 26K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,40%,1,26,1C x 26K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,50%,1,33,1C x 33K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,50%,1,33,1C x 33K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,50%,1,33,1C x 33K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,50%,1,33,1C x 33K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,50%,1,33,1C x 33K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,50%,1,33,1C x 33K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,60%,1,40,1C x 40K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,60%,1,40,1C x 40K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,60%,1,40,1C x 40K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,60%,1,40,1C x 40K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,60%,1,40,1C x 40K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,60%,1,40,1C x 40K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,70%,1,46,1C x 46K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,80%,1,53,1C x 53K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,80%,1,53,1C x 53K,0.0,0.0,100.0,Custom_Simulation
Height,90%,1,67,1C x 67K,80%,1,53,1C x 53K,0.0,0.0,100.0,Custom_Simulation
