Universe,Indicator,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_MAE_Std,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_MAE_Std,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_MAE_Std,V3_RMSE_Acc,V3_P90_Acc,Scenario,Rho_Model
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,80%,5,6,5C x 6K,56.666666666666664,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,80%,6,5,6C x 5K,60.0,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,60.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,90%,5,6,5C x 6K,56.666666666666664,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,90%,6,5,6C x 5K,60.0,0.0,0.0,0.0,54.44444444444444,0.0,0.0,0.0,60.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,10%,6,6,6C x 6K,100%,6,6,6C x 6K,16.666666666666664,0.0,0.0,0.0,20.555555555555554,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,10%,3,3,3C x 3K,46.666666666666664,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,10%,8,1,8C x 1K,36.666666666666664,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,36.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,20%,15,1,15C x 1K,40.0,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,40.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,20%,5,3,5C x 3K,40.0,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,40.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,30%,22,1,22C x 1K,43.333333333333336,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,30%,7,3,7C x 3K,40.0,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,40.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,20%,25,3,25C x 3K,40%,10,3,10C x 3K,46.666666666666664,0.0,0.0,0.0,43.733333333333334,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
