Universe,Indicator,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_RMSE_Acc,V3_P90_Acc,Scenario,Rho_Model
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,20%,15,1,15C x 1K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,61.0,62.0,52.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,20%,15,1,15C x 1K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,59.0,59.0,47.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,20%,8,2,8C x 2K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,62.0,63.0,52.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,20%,8,2,8C x 2K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,61.0,59.0,54.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,20%,5,3,5C x 3K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,57.99999999999999,54.0,39.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,20%,5,3,5C x 3K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,55.00000000000001,55.00000000000001,48.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,20%,4,4,4C x 4K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,56.99999999999999,56.00000000000001,47.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,20%,4,4,4C x 4K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,52.0,52.0,57.99999999999999,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,20%,3,5,3C x 5K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,51.0,56.00000000000001,48.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,20%,3,5,3C x 5K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,56.99999999999999,55.00000000000001,54.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,20%,3,5,3C x 5K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,56.00000000000001,57.99999999999999,43.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,20%,3,5,3C x 5K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,56.00000000000001,54.0,57.99999999999999,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,40%,15,2,15C x 2K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,62.0,65.0,51.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,40%,15,2,15C x 2K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,72.0,72.0,59.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,40%,10,3,10C x 3K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,67.0,68.0,52.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,40%,10,3,10C x 3K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,77.0,79.0,56.00000000000001,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,40%,8,4,8C x 4K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,71.0,70.0,52.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,40%,8,4,8C x 4K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,68.0,68.0,51.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,40%,6,5,6C x 5K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,68.0,66.0,50.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,40%,6,5,6C x 5K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,75.0,76.0,61.0,1_Good_L0_Good_L1,0.0
